Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Malik Beasley,MIL,MIL @ CLE,12/29/2023,W,35,15,5,9,55.6,5,8,62.5,0,0,-,0,5,5,0,0,0,3,1,12,18.0
Georges Niang,CLE,CLE vs. MIL,12/29/2023,L,14,2,1,7,14.3,0,6,0.0,0,0,-,0,0,0,0,1,1,0,2,-8,8.0
Dean Wade,CLE,CLE vs. MIL,12/29/2023,L,17,0,0,3,0.0,0,2,0.0,0,0,-,0,5,5,1,1,0,2,1,-8,8.5
Isaac Okoro,CLE,CLE vs. MIL,12/29/2023,L,30,8,3,5,60.0,0,1,0.0,2,2,100,0,2,2,3,1,1,1,3,-10,19.9
MarJon Beauchamp,MIL,MIL @ CLE,12/29/2023,W,11,5,2,3,66.7,1,2,50.0,0,0,-,1,0,1,0,0,0,0,2,1,6.2
Andre Jackson Jr.,MIL,MIL @ CLE,12/29/2023,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-7,-1.0
Craig Porter Jr.,CLE,CLE vs. MIL,12/29/2023,L,15,14,6,10,60.0,1,3,33.3,1,1,100,0,1,1,1,1,0,0,1,0,19.7
Tristan Thompson,CLE,CLE vs. MIL,12/29/2023,L,8,2,1,2,50.0,0,0,-,0,2,0.0,2,4,6,1,0,0,0,2,4,10.7
Brook Lopez,MIL,MIL @ CLE,12/29/2023,W,36,9,4,10,40.0,1,3,33.3,0,0,-,3,7,10,2,0,6,0,3,9,42.0
Khris Middleton,MIL,MIL @ CLE,12/29/2023,W,33,13,4,10,40.0,1,3,33.3,4,4,100,0,3,3,11,3,0,4,1,7,38.1
Bobby Portis,MIL,MIL @ CLE,12/29/2023,W,23,9,2,6,33.3,1,2,50.0,4,6,66.7,1,4,5,1,1,0,0,3,-5,19.5
Moritz Wagner,ORL,ORL vs. NYK,12/29/2023,W,18,7,2,8,25.0,0,3,0.0,3,3,100,4,7,11,1,0,1,1,1,-7,23.7
Donovan Mitchell,CLE,CLE vs. MIL,12/29/2023,L,36,34,14,23,60.9,2,10,20.0,4,4,100,1,5,6,9,2,1,2,3,3,61.7
Jarrett Allen,CLE,CLE vs. MIL,12/29/2023,L,40,30,15,17,88.2,0,0,-,0,0,-,3,9,12,6,0,2,0,2,-12,59.4
Max Strus,CLE,CLE vs. MIL,12/29/2023,L,36,12,5,18,27.8,2,11,18.2,0,0,-,1,3,4,2,4,2,1,3,-5,36.8
Sam Merrill,CLE,CLE vs. MIL,12/29/2023,L,15,3,1,4,25.0,1,4,25.0,0,0,-,0,0,0,1,0,0,0,1,-1,4.5
Paul Reed,PHI,PHI @ HOU,12/29/2023,W,24,7,3,5,60.0,0,0,-,1,2,50.0,2,0,2,4,1,0,0,3,-6,18.4
Tyrese Maxey,PHI,PHI @ HOU,12/29/2023,W,41,42,13,26,50.0,2,9,22.2,14,15,93.3,1,3,4,4,0,1,1,1,0,54.8
Mo Bamba,PHI,PHI @ HOU,12/29/2023,W,5,2,0,1,0.0,0,0,-,2,2,100,2,0,2,0,0,0,0,1,-3,4.4
Kelly Oubre Jr.,PHI,PHI @ HOU,12/29/2023,W,24,13,4,7,57.1,3,4,75.0,2,2,100,0,1,1,1,0,0,3,1,-4,12.7
Tobias Harris,PHI,PHI @ HOU,12/29/2023,W,35,22,10,18,55.6,2,6,33.3,0,0,-,1,3,4,7,4,3,3,3,5,55.3
Sam Hauser,BOS,BOS vs. TOR,12/29/2023,W,34,9,3,7,42.9,3,7,42.9,0,0,-,0,9,9,1,0,1,0,2,-8,24.3
Gary Trent Jr.,TOR,TOR @ BOS,12/29/2023,L,29,6,2,10,20.0,1,4,25.0,1,2,50.0,0,4,4,1,2,0,0,0,-10,18.3
Luke Kornet,BOS,BOS vs. TOR,12/29/2023,W,33,20,9,11,81.8,0,0,-,2,2,100,5,3,8,3,0,3,1,3,-2,42.1
Derrick White,BOS,BOS vs. TOR,12/29/2023,W,36,21,5,19,26.3,2,10,20.0,9,9,100,1,4,5,7,3,2,3,2,7,49.5
Dennis Schroder,TOR,TOR @ BOS,12/29/2023,L,35,15,6,12,50.0,2,5,40.0,1,2,50.0,2,0,2,9,0,1,0,2,2,33.9
Jakob Poeltl,TOR,TOR @ BOS,12/29/2023,L,22,12,5,8,62.5,0,0,-,2,2,100,4,6,10,3,0,2,0,3,-9,34.5
Precious Achiuwa,TOR,TOR @ BOS,12/29/2023,L,2,0,0,1,0.0,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1,2.4
Neemias Queta,BOS,BOS vs. TOR,12/29/2023,W,14,6,3,3,100,0,0,-,0,0,-,1,4,5,1,0,0,0,0,3,13.5
Pascal Siakam,TOR,TOR @ BOS,12/29/2023,L,41,27,10,18,55.6,2,5,40.0,5,8,62.5,0,5,5,5,2,0,1,1,8,45.5
Scottie Barnes,TOR,TOR @ BOS,12/29/2023,L,38,30,10,24,41.7,7,15,46.7,3,4,75.0,3,7,10,5,1,3,2,2,-3,59.5
Oshae Brissett,BOS,BOS vs. TOR,12/29/2023,W,15,2,1,3,33.3,0,1,0.0,0,0,-,2,5,7,1,0,0,1,0,3,10.9
OG Anunoby,TOR,TOR @ BOS,12/29/2023,L,37,12,5,8,62.5,2,4,50.0,0,0,-,0,2,2,2,2,0,1,1,4,22.4
Jaylen Brown,BOS,BOS vs. TOR,12/29/2023,W,41,31,11,16,68.8,5,6,83.3,4,5,80.0,1,9,10,6,0,0,7,4,12,45.0
Jrue Holiday,BOS,BOS vs. TOR,12/29/2023,W,32,15,5,15,33.3,3,5,60.0,2,4,50.0,0,2,2,3,0,0,1,1,8,20.9
Payton Pritchard,BOS,BOS vs. TOR,12/29/2023,W,25,9,3,10,30.0,3,8,37.5,0,0,-,3,2,5,6,0,0,2,3,-3,22.0
Jalen McDaniels,TOR,TOR @ BOS,12/29/2023,L,15,13,5,10,50.0,2,7,28.6,1,2,50.0,0,0,0,2,1,0,0,4,8,19.0
Dalano Banton,BOS,BOS vs. TOR,12/29/2023,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-4,1.0
Malachi Flynn,TOR,TOR @ BOS,12/29/2023,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,0,1,2,6.0
Svi Mykhailiuk,BOS,BOS vs. TOR,12/29/2023,W,7,5,2,3,66.7,1,2,50.0,0,0,-,0,1,1,1,0,0,0,2,-6,7.7
Chris Boucher,TOR,TOR @ BOS,12/29/2023,L,7,3,1,3,33.3,1,3,33.3,0,0,-,0,3,3,0,0,0,0,1,-8,6.6
Otto Porter Jr.,TOR,TOR @ BOS,12/29/2023,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,2,0,0,0,0,-5,3.0
Cody Martin,CHA,CHA @ LAL,12/28/2023,L,20,5,2,7,28.6,0,3,0.0,1,4,25.0,2,2,4,2,1,0,2,1,-19,13.8
Jarred Vanderbilt,LAL,LAL vs. CHA,12/28/2023,W,24,7,3,8,37.5,1,2,50.0,0,0,-,2,2,4,3,2,0,0,1,2,22.3
Jaxson Hayes,LAL,LAL vs. CHA,12/28/2023,W,7,10,5,7,71.4,0,0,-,0,0,-,1,1,2,0,0,0,0,0,-2,12.4
JT Thor,CHA,CHA @ LAL,12/28/2023,L,6,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,0,6,4.5
Jalen Hood-Schifino,LAL,LAL vs. CHA,12/28/2023,W,7,2,1,5,20.0,0,1,0.0,0,0,-,0,0,0,1,1,0,1,1,-2,5.5
James Bouknight,CHA,CHA @ LAL,12/28/2023,L,6,5,2,3,66.7,1,1,100,0,0,-,0,2,2,1,0,0,0,0,6,8.9
D'Angelo Russell,LAL,LAL vs. CHA,12/28/2023,W,29,16,5,10,50.0,4,7,57.1,2,2,100,0,3,3,9,0,0,1,3,18,32.1
Terry Rozier,CHA,CHA @ LAL,12/28/2023,L,32,18,5,14,35.7,1,3,33.3,7,9,77.8,0,6,6,8,1,0,4,0,-32,36.2
Miles Bridges,CHA,CHA @ LAL,12/28/2023,L,33,20,7,20,35.0,4,10,40.0,2,2,100,1,4,5,5,0,1,3,3,-33,33.5
P.J. Washington,CHA,CHA @ LAL,12/28/2023,L,25,9,4,11,36.4,0,4,0.0,1,2,50.0,1,5,6,0,0,0,3,1,-15,13.2
Rui Hachimura,LAL,LAL vs. CHA,12/28/2023,W,28,17,7,12,58.3,0,1,0.0,3,3,100,0,4,4,1,1,0,0,2,34,26.3
Max Christie,LAL,LAL vs. CHA,12/28/2023,W,24,10,3,4,75.0,2,3,66.7,2,2,100,0,7,7,3,1,2,1,2,18,30.9
Nathan Mensah,CHA,CHA @ LAL,12/28/2023,L,9,2,1,1,100,0,0,-,0,2,0.0,0,1,1,0,0,0,0,1,-2,3.2
Bryce McGowens,CHA,CHA @ LAL,12/28/2023,L,22,10,3,6,50.0,3,4,75.0,1,2,50.0,0,2,2,1,0,0,1,3,1,12.9
Christian Wood,LAL,LAL vs. CHA,12/28/2023,W,23,9,3,4,75.0,3,3,100,0,0,-,0,5,5,4,0,1,2,2,19,22.0
Nick Smith Jr.,CHA,CHA @ LAL,12/28/2023,L,18,6,2,4,50.0,2,2,100,0,0,-,0,3,3,4,0,1,2,1,-1,16.6
Austin Reaves,LAL,LAL vs. CHA,12/28/2023,W,24,16,6,8,75.0,2,3,66.7,2,2,100,0,2,2,4,1,0,0,4,9,27.4
LeBron James,LAL,LAL vs. CHA,12/28/2023,W,25,17,7,13,53.8,2,5,40.0,1,1,100,0,4,4,11,0,0,3,0,1,35.3
Ish Smith,CHA,CHA @ LAL,12/28/2023,L,14,6,3,4,75.0,0,0,-,0,0,-,0,3,3,4,0,0,1,1,-6,14.6
Nick Richards,CHA,CHA @ LAL,12/28/2023,L,26,11,5,5,100,0,0,-,1,3,33.3,3,7,10,1,2,2,0,3,-6,36.5
Taurean Prince,LAL,LAL vs. CHA,12/28/2023,W,23,3,1,7,14.3,1,4,25.0,0,0,-,0,3,3,3,3,0,1,2,2,19.1
Anthony Davis,LAL,LAL vs. CHA,12/28/2023,W,26,26,11,19,57.9,0,1,0.0,4,4,100,2,6,8,2,2,4,2,4,6,54.6
Jordan Clarkson,UTA,UTA @ NOP,12/28/2023,L,24,10,3,11,27.3,1,5,20.0,3,3,100,0,2,2,6,0,0,6,0,-8,15.4
Duncan Robinson,MIA,MIA @ GSW,12/28/2023,W,30,5,2,11,18.2,1,6,16.7,0,0,-,1,1,2,4,0,0,0,3,5,13.4
Jonathan Kuminga,GSW,GSW vs. MIA,12/28/2023,L,24,10,5,11,45.5,0,3,0.0,0,0,-,1,4,5,1,0,0,6,0,-26,11.5
Nikola Jovic,MIA,MIA @ GSW,12/28/2023,W,20,11,4,5,80.0,0,1,0.0,3,5,60.0,2,1,3,3,1,1,0,3,10,25.1
Jamal Cain,MIA,MIA @ GSW,12/28/2023,W,28,18,7,14,50.0,2,5,40.0,2,2,100,1,5,6,0,2,0,1,1,7,30.2
Brandin Podziemski,GSW,GSW vs. MIA,12/28/2023,L,28,10,4,9,44.4,2,5,40.0,0,0,-,1,2,3,6,0,0,1,2,1,21.6
Justin Holiday,DEN,DEN vs. MEM,12/28/2023,W,18,8,3,5,60.0,2,3,66.7,0,0,-,0,2,2,1,2,0,0,2,1,17.9
Kentavious Caldwell-Pope,DEN,DEN vs. MEM,12/28/2023,W,25,12,5,10,50.0,2,5,40.0,0,0,-,2,0,2,3,0,1,0,2,27,21.9
Marcus Smart,MEM,MEM @ DEN,12/28/2023,L,23,17,6,14,42.9,2,6,33.3,3,4,75.0,1,2,3,5,1,0,3,1,-7,28.1
Jamal Murray,DEN,DEN vs. MEM,12/28/2023,W,26,23,9,12,75.0,4,6,66.7,1,1,100,2,1,3,9,2,0,1,0,19,45.1
Michael Porter Jr.,DEN,DEN vs. MEM,12/28/2023,W,23,8,3,6,50.0,2,3,66.7,0,0,-,0,4,4,0,0,1,2,3,28,13.8
Jalen Pickett,DEN,DEN vs. MEM,12/28/2023,W,6,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,2,0,0,0,0,3,7.2
Xavier Tillman,MEM,MEM @ DEN,12/28/2023,L,22,6,2,7,28.6,1,4,25.0,1,2,50.0,0,3,3,4,1,1,2,0,-18,19.6
Desmond Bane,MEM,MEM @ DEN,12/28/2023,L,25,23,9,13,69.2,3,5,60.0,2,2,100,0,1,1,2,1,0,2,3,-27,28.2
Braxton Key,DEN,DEN vs. MEM,12/28/2023,W,7,2,1,2,50.0,0,0,-,0,0,-,1,1,2,1,0,0,0,0,8,5.9
Ziaire Williams,MEM,MEM @ DEN,12/28/2023,L,24,7,2,8,25.0,1,3,33.3,2,2,100,1,1,2,1,1,1,1,1,-16,15.9
Zeke Nnaji,DEN,DEN vs. MEM,12/28/2023,W,6,4,2,3,66.7,0,0,-,0,0,-,1,2,3,0,0,0,1,2,3,6.6
Jaren Jackson Jr.,MEM,MEM @ DEN,12/28/2023,L,28,14,5,15,33.3,1,3,33.3,3,4,75.0,1,3,4,2,2,0,0,1,-11,27.8
Nikola Jokic,DEN,DEN vs. MEM,12/28/2023,W,30,26,11,11,100,1,1,100,3,3,100,0,14,14,10,0,2,3,1,25,60.8
DeAndre Jordan,DEN,DEN vs. MEM,12/28/2023,W,13,4,2,3,66.7,0,0,-,0,0,-,5,4,9,2,0,2,0,3,9,23.8
Bismack Biyombo,MEM,MEM @ DEN,12/28/2023,L,22,2,1,4,25.0,0,0,-,0,0,-,1,4,5,1,0,1,2,3,-28,10.5
Reggie Jackson,DEN,DEN vs. MEM,12/28/2023,W,17,9,3,7,42.9,1,1,100,2,2,100,1,1,2,7,1,0,3,1,15,21.9
John Konchar,MEM,MEM @ DEN,12/28/2023,L,25,10,4,9,44.4,1,5,20.0,1,1,100,3,4,7,3,2,1,1,1,-30,30.9
Julian Strawther,DEN,DEN vs. MEM,12/28/2023,W,25,12,5,13,38.5,2,8,25.0,0,0,-,0,3,3,2,0,1,1,4,6,20.6
Christian Braun,DEN,DEN vs. MEM,12/28/2023,W,23,11,4,8,50.0,1,2,50.0,2,4,50.0,0,3,3,4,1,0,0,0,13,23.6
Peyton Watson,DEN,DEN vs. MEM,12/28/2023,W,23,20,6,14,42.9,4,10,40.0,4,4,100,0,5,5,2,0,0,0,1,28,29.0
David Roddy,MEM,MEM @ DEN,12/28/2023,L,29,15,5,9,55.6,1,2,50.0,4,8,50.0,0,0,0,2,0,0,0,0,-11,18.0
Vince Williams Jr.,MEM,MEM @ DEN,12/28/2023,L,30,5,1,7,14.3,1,4,25.0,2,2,100,4,7,11,2,0,0,0,3,-23,21.2
Jacob Gilyard,MEM,MEM @ DEN,12/28/2023,L,12,6,2,3,66.7,2,3,66.7,0,0,-,0,0,0,1,0,1,0,0,-14,10.5
Brandon Miller,CHA,CHA @ LAL,12/28/2023,L,29,17,5,9,55.6,3,5,60.0,4,4,100,1,0,1,2,1,1,3,0,-4,24.2
Sam Hauser,BOS,BOS vs. DET,12/28/2023,W,18,5,2,6,33.3,1,4,25.0,0,0,-,1,2,3,1,0,0,1,0,-8,9.1
Moses Moody,GSW,GSW vs. MIA,12/28/2023,L,13,11,4,8,50.0,0,2,0.0,3,3,100,1,2,3,0,0,2,0,1,10,20.6
R.J. Hampton,MIA,MIA @ GSW,12/28/2023,W,25,7,3,6,50.0,0,2,0.0,1,2,50.0,2,0,2,3,0,0,1,3,8,12.9
Tyler Herro,MIA,MIA @ GSW,12/28/2023,W,31,26,10,18,55.6,3,7,42.9,3,4,75.0,0,7,7,2,1,0,2,0,11,38.4
Haywood Highsmith,MIA,MIA @ GSW,12/28/2023,W,18,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,1,0,0,4,4,6.0
Jerome Robinson,GSW,GSW vs. MIA,12/28/2023,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,1,0,0,3,3.0
Bam Adebayo,MIA,MIA @ GSW,12/28/2023,W,36,17,7,13,53.8,0,0,-,3,4,75.0,2,9,11,4,0,0,0,2,8,36.2
Kevon Looney,GSW,GSW vs. MIA,12/28/2023,L,14,5,2,2,100,0,0,-,1,3,33.3,3,2,5,0,0,1,0,3,-9,14.0
Andrew Wiggins,GSW,GSW vs. MIA,12/28/2023,L,26,11,4,11,36.4,0,3,0.0,3,4,75.0,1,1,2,4,0,0,1,2,5,18.4
Cory Joseph,GSW,GSW vs. MIA,12/28/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,3,0.0
Kevin Love,MIA,MIA @ GSW,12/28/2023,W,13,8,2,5,40.0,1,3,33.3,3,3,100,0,7,7,4,0,0,1,1,2,21.4
Victor Wembanyama,SAS,SAS @ POR,12/28/2023,W,24,30,9,14,64.3,2,4,50.0,10,10,100,0,6,6,6,0,7,1,0,18,66.2
Jeremy Sochan,SAS,SAS @ POR,12/28/2023,W,31,16,6,10,60.0,0,2,0.0,4,5,80.0,1,6,7,3,0,1,2,4,17,29.9
Ibou Badji,POR,POR vs. SAS,12/28/2023,L,14,7,3,3,100,0,0,-,1,2,50.0,5,4,9,0,0,3,0,3,11,26.8
Tre Jones,SAS,SAS @ POR,12/28/2023,W,26,8,2,6,33.3,0,2,0.0,4,4,100,3,2,5,6,1,0,1,0,1,25.0
Matisse Thybulle,POR,POR vs. SAS,12/28/2023,L,28,4,1,7,14.3,1,7,14.3,1,2,50.0,0,2,2,1,2,0,0,1,-6,13.9
Keldon Johnson,SAS,SAS @ POR,12/28/2023,W,31,9,4,11,36.4,1,6,16.7,0,0,-,0,3,3,2,1,0,2,5,1,16.6
Malcolm Brogdon,POR,POR vs. SAS,12/28/2023,L,37,29,10,19,52.6,6,8,75.0,3,5,60.0,1,5,6,6,1,0,1,1,-10,47.2
Doug McDermott,SAS,SAS @ POR,12/28/2023,W,16,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,1,0,0,0,0,-3,10.7
Toumani Camara,POR,POR vs. SAS,12/28/2023,L,21,1,0,5,0.0,0,1,0.0,1,2,50.0,3,4,7,0,0,0,1,1,-11,8.4
Jabari Walker,POR,POR vs. SAS,12/28/2023,L,30,6,2,4,50.0,0,0,-,2,2,100,2,7,9,0,1,1,1,4,-18,21.8
Blake Wesley,SAS,SAS @ POR,12/28/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Malaki Branham,SAS,SAS @ POR,12/28/2023,W,29,13,4,10,40.0,3,6,50.0,2,2,100,2,3,5,4,1,0,2,5,4,26.0
Scoot Henderson,POR,POR vs. SAS,12/28/2023,L,36,25,8,23,34.8,3,7,42.9,6,6,100,2,1,3,4,1,0,6,5,-6,31.6
Ish Wainright,POR,POR vs. SAS,12/28/2023,L,6,0,0,5,0.0,0,4,0.0,0,0,-,0,1,1,0,0,0,0,0,-1,1.2
Julian Champagnie,SAS,SAS @ POR,12/28/2023,W,14,2,0,1,0.0,0,1,0.0,2,2,100,0,1,1,0,2,1,1,0,8,11.2
Sandro Mamukelashvili,SAS,SAS @ POR,12/28/2023,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Skylar Mays,POR,POR vs. SAS,12/28/2023,L,14,0,0,8,0.0,0,4,0.0,0,0,-,1,2,3,0,1,0,0,0,-9,6.6
Devin Vassell,SAS,SAS @ POR,12/28/2023,W,35,17,7,16,43.8,2,9,22.2,1,1,100,0,5,5,7,4,1,1,0,18,47.5
Moses Brown,POR,POR vs. SAS,12/28/2023,L,14,4,2,6,33.3,0,0,-,0,0,-,5,2,7,0,0,0,0,3,-8,12.4
Zach Collins,SAS,SAS @ POR,12/28/2023,W,17,11,4,9,44.4,0,2,0.0,3,4,75.0,1,6,7,2,0,0,1,6,7,21.4
Cedi Osman,SAS,SAS @ POR,12/28/2023,W,16,4,2,3,66.7,0,0,-,0,0,-,0,2,2,2,0,0,0,0,-2,9.4
Jerami Grant,POR,POR vs. SAS,12/28/2023,L,41,29,9,21,42.9,1,5,20.0,10,13,76.9,3,7,10,5,0,0,4,4,-7,44.5
Jaden Hardy,DAL,DAL @ MIN,12/28/2023,L,31,17,7,18,38.9,3,8,37.5,0,0,-,0,2,2,1,1,1,0,2,0,26.9
Nickeil Alexander-Walker,MIN,MIN vs. DAL,12/28/2023,W,24,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,3,4,1,0,0,-3,22.5
Dereck Lively II,DAL,DAL @ MIN,12/28/2023,L,15,2,1,4,25.0,0,0,-,0,0,-,3,1,4,2,0,0,2,5,-16,7.8
Naz Reid,MIN,MIN vs. DAL,12/28/2023,W,18,9,3,5,60.0,3,5,60.0,0,0,-,0,4,4,2,0,0,3,4,12,13.8
Jaime Jaquez Jr.,MIA,MIA @ GSW,12/28/2023,W,39,17,7,15,46.7,2,5,40.0,1,2,50.0,1,4,5,6,1,0,2,2,8,33.0
Trayce Jackson-Davis,GSW,GSW vs. MIA,12/28/2023,L,26,10,4,9,44.4,0,0,-,2,2,100,4,7,11,1,0,2,1,1,8,29.7
Kevin Knox II,DET,DET @ BOS,12/28/2023,L,18,6,3,9,33.3,0,6,0.0,0,0,-,0,2,2,0,1,0,0,3,9,11.4
Oshae Brissett,BOS,BOS vs. DET,12/28/2023,W,6,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,9,1.2
Neemias Queta,BOS,BOS vs. DET,12/28/2023,W,20,5,2,2,100,0,0,-,1,2,50.0,0,2,2,0,1,0,0,4,-3,10.4
James Wiseman,DET,DET @ BOS,12/28/2023,L,13,6,3,3,100,0,0,-,0,0,-,2,3,5,1,0,0,1,0,0,12.5
Killian Hayes,DET,DET @ BOS,12/28/2023,L,10,2,1,3,33.3,0,0,-,0,0,-,0,2,2,0,1,0,3,0,-10,4.4
Payton Pritchard,BOS,BOS vs. DET,12/28/2023,W,24,9,4,11,36.4,1,6,16.7,0,0,-,2,2,4,2,1,0,1,0,-9,18.8
Isaiah Livers,DET,DET @ BOS,12/28/2023,L,23,9,3,7,42.9,2,6,33.3,1,4,25.0,0,1,1,2,0,1,3,2,-13,13.2
Ausar Thompson,DET,DET @ BOS,12/28/2023,L,12,2,1,2,50.0,0,1,0.0,0,0,-,0,3,3,2,0,0,0,1,-1,8.6
Al Horford,BOS,BOS vs. DET,12/28/2023,W,37,8,3,4,75.0,2,3,66.7,0,0,-,2,3,5,3,1,1,1,1,10,23.5
Jrue Holiday,BOS,BOS vs. DET,12/28/2023,W,44,12,4,9,44.4,0,2,0.0,4,5,80.0,2,7,9,3,1,1,3,1,1,30.3
Alec Burks,DET,DET @ BOS,12/28/2023,L,30,12,4,13,30.8,4,12,33.3,0,0,-,1,1,2,1,2,0,0,2,-15,21.9
Bojan Bogdanovic,DET,DET @ BOS,12/28/2023,L,44,17,8,21,38.1,1,7,14.3,0,0,-,2,10,12,6,0,0,2,3,-6,38.4
Kristaps Porzingis,BOS,BOS vs. DET,12/28/2023,W,36,35,13,21,61.9,3,9,33.3,6,7,85.7,0,8,8,1,1,0,1,4,12,48.1
Jayson Tatum,BOS,BOS vs. DET,12/28/2023,W,43,31,11,31,35.5,2,11,18.2,7,8,87.5,2,5,7,10,5,0,3,4,10,66.4
Derrick White,BOS,BOS vs. DET,12/28/2023,W,38,23,9,15,60.0,2,4,50.0,3,3,100,1,3,4,5,0,2,2,1,8,39.3
Cade Cunningham,DET,DET @ BOS,12/28/2023,L,43,31,12,22,54.5,4,6,66.7,3,4,75.0,1,5,6,9,3,2,6,3,4,60.7
Jaden Ivey,DET,DET @ BOS,12/28/2023,L,33,22,8,15,53.3,3,5,60.0,3,5,60.0,5,5,10,4,0,1,3,6,8,40.0
Jalen Duren,DET,DET @ BOS,12/28/2023,L,40,15,5,6,83.3,0,0,-,5,6,83.3,8,6,14,2,0,0,0,1,-6,34.8
Jonas Valanciunas,NOP,NOP vs. UTA,12/28/2023,W,23,6,2,6,33.3,0,1,0.0,2,2,100,2,2,4,1,0,1,2,1,-9,13.3
Kelly Olynyk,UTA,UTA @ NOP,12/28/2023,L,19,6,3,5,60.0,0,1,0.0,0,0,-,2,1,3,3,1,0,2,0,-10,15.1
Kris Dunn,UTA,UTA @ NOP,12/28/2023,L,19,7,3,5,60.0,1,3,33.3,0,0,-,0,0,0,3,0,1,0,2,2,14.5
Brandon Ingram,NOP,NOP vs. UTA,12/28/2023,W,36,26,9,18,50.0,1,2,50.0,7,7,100,1,2,3,5,1,2,1,3,4,45.1
John Collins,UTA,UTA @ NOP,12/28/2023,L,26,8,3,7,42.9,1,3,33.3,1,2,50.0,3,9,12,0,0,1,1,2,-3,24.4
Collin Sexton,UTA,UTA @ NOP,12/28/2023,L,30,26,8,17,47.1,3,6,50.0,7,9,77.8,1,4,5,3,0,0,0,4,3,36.5
Talen Horton-Tucker,UTA,UTA @ NOP,12/28/2023,L,6,2,0,3,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,0,0,0,2.0
Naji Marshall,NOP,NOP vs. UTA,12/28/2023,W,16,9,4,5,80.0,1,1,100,0,0,-,0,2,2,2,0,0,3,1,4,11.4
Herbert Jones,NOP,NOP vs. UTA,12/28/2023,W,29,6,3,4,75.0,0,1,0.0,0,0,-,0,3,3,1,0,1,1,4,6,13.1
Trey Murphy III,NOP,NOP vs. UTA,12/28/2023,W,23,6,2,8,25.0,2,7,28.6,0,0,-,0,1,1,2,0,0,1,2,-1,9.2
Jose Alvarado,NOP,NOP vs. UTA,12/28/2023,W,12,7,3,4,75.0,1,2,50.0,0,0,-,0,0,0,0,0,0,1,2,1,6.0
Dyson Daniels,NOP,NOP vs. UTA,12/28/2023,W,14,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,2,2,1,1,2,-1,13.4
CJ McCollum,NOP,NOP vs. UTA,12/28/2023,W,32,22,8,16,50.0,4,10,40.0,2,3,66.7,1,2,3,6,2,0,2,2,8,38.6
Dario Saric,GSW,GSW vs. MIA,12/28/2023,L,20,10,4,5,80.0,1,1,100,1,1,100,1,5,6,1,0,0,0,1,-10,18.7
Klay Thompson,GSW,GSW vs. MIA,12/28/2023,L,25,13,4,11,36.4,2,6,33.3,3,4,75.0,0,0,0,5,2,0,0,2,-26,26.5
Stephen Curry,GSW,GSW vs. MIA,12/28/2023,L,32,13,3,15,20.0,2,8,25.0,5,6,83.3,0,4,4,5,2,1,1,1,-14,33.3
Chris Paul,GSW,GSW vs. MIA,12/28/2023,L,27,9,3,6,50.0,1,4,25.0,2,2,100,0,4,4,4,0,0,3,4,-8,16.8
Lester Quinones,GSW,GSW vs. MIA,12/28/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,3,0.0
Cole Swider,MIA,MIA @ GSW,12/28/2023,W,1,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3,3.2
Derrick Jones Jr.,DAL,DAL @ MIN,12/28/2023,L,30,15,3,9,33.3,1,3,33.3,8,8,100,3,6,9,0,3,1,1,5,3,36.8
Dante Exum,DAL,DAL @ MIN,12/28/2023,L,24,11,5,11,45.5,1,1,100,0,0,-,0,2,2,6,0,0,4,4,-9,18.4
Larry Nance Jr.,NOP,NOP vs. UTA,12/28/2023,W,25,9,4,6,66.7,1,2,50.0,0,0,-,1,6,7,0,5,1,2,0,16,33.4
Zion Williamson,NOP,NOP vs. UTA,12/28/2023,W,30,21,10,14,71.4,0,0,-,1,3,33.3,1,9,10,8,0,1,0,2,7,48.0
Ochai Agbaji,UTA,UTA @ NOP,12/28/2023,L,16,2,1,2,50.0,0,0,-,0,0,-,0,1,1,2,0,0,2,0,-4,4.2
